date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:48:24	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Apr%202019%2021:48:20%20GMT	https://www.2brains.az/robots.txt		(from )
01:48:24	8177/8177	---M--	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2008:50:47%20GMT	https://www.2brains.az/	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/index.html	(from )
01:48:25	2296/2296	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2006:07:01%20GMT	https://www.2brains.az/favicon.png	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/favicon.png	(from https://www.2brains.az/)
01:48:25	2296/2296	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2006:07:00%20GMT	https://www.2brains.az/apple-touch-icon.png	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/apple-touch-icon.png	(from https://www.2brains.az/)
01:48:27	2296/2296	---M--	200	added ('OK')	image/x-icon	date:Fri,%2015%20Mar%202019%2006:07:00%20GMT	https://www.2brains.az/favicon.ico	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/favicon.ico	(from https://www.2brains.az/)
01:48:30	38264/38264	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202019%2006:07:04%20GMT	https://www.2brains.az/css/icons/font-awesome.css	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/icons/font-awesome.css	(from https://www.2brains.az/)
01:48:31	4093/4093	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202019%2006:07:06%20GMT	https://www.2brains.az/css/plugins/photoswipe.css	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/plugins/photoswipe.css	(from https://www.2brains.az/)
01:48:32	11183/11183	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202019%2006:07:07%20GMT	https://www.2brains.az/css/icons/photoswipe/icons.css	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/icons/photoswipe/icons.css	(from https://www.2brains.az/)
01:48:32	46798/46798	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202019%2006:07:05%20GMT	https://www.2brains.az/css/plugins/loaders.min.css	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/plugins/loaders.min.css	(from https://www.2brains.az/)
01:48:33	1119/1119	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Mar%202019%2006:07:02%20GMT	https://www.2brains.az/css/responsive.css	C:/Users/Abbas%20Bayramzade/Desktop/2brain/2brain/www.2brains.az/css/responsive.css	(from https://www.2brains.az/)
